,FedFunds,Unemployment,HousingStarts,Inflation
1953-03-01,,2.6,,26.63
1953-04-01,,2.7,,26.69
1953-05-01,,2.5,,26.7
1953-06-01,,2.5,,26.77
1953-07-01,,2.6,,26.79
1953-08-01,,2.7,,26.85
1953-09-01,,2.9,,26.89
1953-10-01,,3.1,,26.95
1953-11-01,,3.5,,26.85
1953-12-01,,4.5,,26.87
1954-01-01,,4.9,,26.94
1954-02-01,,5.2,,26.99
1954-03-01,,5.7,,26.93
1954-04-01,,5.9,,26.86
1954-05-01,,5.9,,26.93
1954-06-01,,5.6,,26.94
1954-07-01,0.8,5.8,,26.86
1954-08-01,1.22,6.0,,26.85
1954-09-01,1.07,6.1,,26.81
1954-10-01,0.85,5.7,,26.72
1954-11-01,0.83,5.3,,26.78
1954-12-01,1.28,5.0,,26.77
1955-01-01,1.39,4.9,,26.77
1955-02-01,1.29,4.7,,26.82
1955-03-01,1.35,4.6,,26.79
1955-04-01,1.43,4.7,,26.79
1955-05-01,1.43,4.3,,26.77
1955-06-01,1.64,4.2,,26.71
1955-07-01,1.68,4.0,,26.76
1955-08-01,1.96,4.2,,26.72
1955-09-01,2.18,4.1,,26.85
1955-10-01,2.24,4.3,,26.82
1955-11-01,2.35,4.2,,26.88
1955-12-01,2.48,4.2,,26.87
1956-01-01,2.45,4.0,,26.83
1956-02-01,2.5,3.9,,26.86
1956-03-01,2.5,4.2,,26.89
1956-04-01,2.62,4.0,,26.93
1956-05-01,2.75,4.3,,27.03
1956-06-01,2.71,4.3,,27.15
1956-07-01,2.75,4.4,,27.29
1956-08-01,2.73,4.1,,27.31
1956-09-01,2.95,3.9,,27.35
1956-10-01,2.96,3.9,,27.51
1956-11-01,2.88,4.3,,27.51
1956-12-01,2.94,4.2,,27.63
1957-01-01,2.84,4.2,,27.67
1957-02-01,3.0,3.9,,27.8
1957-03-01,2.96,3.7,,27.86
1957-04-01,3.0,3.9,,27.93
1957-05-01,3.0,4.1,,28.0
1957-06-01,3.0,4.3,,28.11
1957-07-01,2.99,4.2,,28.19
1957-08-01,3.24,4.1,,28.28
1957-09-01,3.47,4.4,,28.32
1957-10-01,3.5,4.5,,28.32
1957-11-01,3.28,5.1,,28.41
1957-12-01,2.98,5.2,,28.47
1958-01-01,2.72,5.8,,28.64
1958-02-01,1.67,6.4,,28.7
1958-03-01,1.2,6.7,,28.87
1958-04-01,1.26,7.4,,28.94
1958-05-01,0.63,7.4,,28.94
1958-06-01,0.93,7.3,,28.91
1958-07-01,0.68,7.5,,28.89
1958-08-01,1.53,7.4,,28.94
1958-09-01,1.76,7.1,,28.91
1958-10-01,1.8,6.7,,28.91
1958-11-01,2.27,6.2,,28.95
1958-12-01,2.42,6.2,,28.97
1959-01-01,2.48,6.0,1657.0,29.01
1959-02-01,2.43,5.9,1667.0,29.0
1959-03-01,2.8,5.6,1620.0,28.97
1959-04-01,2.96,5.2,1590.0,28.98
1959-05-01,2.9,5.1,1498.0,29.04
1959-06-01,3.39,5.0,1503.0,29.11
1959-07-01,3.47,5.1,1547.0,29.15
1959-08-01,3.5,5.2,1430.0,29.18
1959-09-01,3.76,5.5,1540.0,29.25
1959-10-01,3.98,5.7,1355.0,29.35
1959-11-01,4.0,5.8,1416.0,29.35
1959-12-01,3.99,5.3,1601.0,29.41
1960-01-01,3.99,5.2,1460.0,29.37
1960-02-01,3.97,4.8,1503.0,29.41
1960-03-01,3.84,5.4,1109.0,29.41
1960-04-01,3.92,5.2,1289.0,29.54
1960-05-01,3.85,5.1,1271.0,29.57
1960-06-01,3.32,5.4,1247.0,29.61
1960-07-01,3.23,5.5,1197.0,29.55
1960-08-01,2.98,5.6,1344.0,29.61
1960-09-01,2.6,5.5,1097.0,29.61
1960-10-01,2.47,6.1,1246.0,29.75
1960-11-01,2.44,6.1,1246.0,29.78
1960-12-01,1.98,6.6,1063.0,29.81
1961-01-01,1.45,6.6,1183.0,29.84
1961-02-01,2.54,6.9,1226.0,29.84
1961-03-01,2.02,6.9,1312.0,29.84
1961-04-01,1.49,7.0,1166.0,29.81
1961-05-01,1.98,7.1,1228.0,29.84
1961-06-01,1.73,6.9,1382.0,29.84
1961-07-01,1.17,7.0,1335.0,29.92
1961-08-01,2.0,6.6,1312.0,29.94
1961-09-01,1.88,6.7,1429.0,29.98
1961-10-01,2.26,6.5,1415.0,29.98
1961-11-01,2.61,6.1,1385.0,29.98
1961-12-01,2.33,6.0,1365.0,30.01
1962-01-01,2.15,5.8,1361.0,30.04
1962-02-01,2.37,5.5,1278.0,30.11
1962-03-01,2.85,5.6,1443.0,30.17
1962-04-01,2.78,5.6,1524.0,30.21
1962-05-01,2.36,5.5,1483.0,30.24
1962-06-01,2.68,5.5,1404.0,30.21
1962-07-01,2.71,5.4,1450.0,30.22
1962-08-01,2.93,5.7,1517.0,30.28
1962-09-01,2.9,5.6,1324.0,30.42
1962-10-01,2.9,5.4,1533.0,30.38
1962-11-01,2.94,5.7,1622.0,30.38
1962-12-01,2.93,5.5,1564.0,30.38
1963-01-01,2.92,5.7,1244.0,30.44
1963-02-01,3.0,5.9,1456.0,30.48
1963-03-01,2.98,5.7,1534.0,30.51
1963-04-01,2.9,5.7,1689.0,30.48
1963-05-01,3.0,5.9,1641.0,30.51
1963-06-01,2.99,5.6,1588.0,30.61
1963-07-01,3.02,5.6,1614.0,30.69
1963-08-01,3.49,5.4,1639.0,30.75
1963-09-01,3.48,5.5,1763.0,30.72
1963-10-01,3.5,5.5,1779.0,30.75
1963-11-01,3.48,5.7,1622.0,30.78
1963-12-01,3.38,5.5,1491.0,30.88
1964-01-01,3.48,5.6,1603.0,30.94
1964-02-01,3.48,5.4,1820.0,30.91
1964-03-01,3.43,5.4,1517.0,30.94
1964-04-01,3.47,5.3,1448.0,30.95
1964-05-01,3.5,5.1,1467.0,30.98
1964-06-01,3.5,5.2,1550.0,31.01
1964-07-01,3.42,4.9,1562.0,31.02
1964-08-01,3.5,5.0,1569.0,31.05
1964-09-01,3.45,5.1,1455.0,31.08
1964-10-01,3.36,5.1,1524.0,31.12
1964-11-01,3.52,4.8,1486.0,31.21
1964-12-01,3.85,5.0,1484.0,31.25
1965-01-01,3.9,4.9,1361.0,31.28
1965-02-01,3.98,5.1,1433.0,31.28
1965-03-01,4.05,4.7,1423.0,31.31
1965-04-01,4.09,4.8,1438.0,31.38
1965-05-01,4.1,4.6,1478.0,31.48
1965-06-01,4.05,4.6,1488.0,31.61
1965-07-01,4.09,4.4,1529.0,31.58
1965-08-01,4.12,4.4,1432.0,31.55
1965-09-01,4.02,4.3,1482.0,31.62
1965-10-01,4.08,4.2,1452.0,31.65
1965-11-01,4.1,4.1,1460.0,31.75
1965-12-01,4.32,4.0,1656.0,31.85
1966-01-01,4.42,4.0,1370.0,31.88
1966-02-01,4.6,3.8,1378.0,32.08
1966-03-01,4.66,3.8,1394.0,32.18
1966-04-01,4.67,3.8,1352.0,32.28
1966-05-01,4.9,3.9,1265.0,32.35
1966-06-01,5.17,3.8,1194.0,32.38
1966-07-01,5.3,3.8,1086.0,32.45
1966-08-01,5.53,3.8,1119.0,32.65
1966-09-01,5.4,3.7,1046.0,32.75
1966-10-01,5.53,3.7,843.0,32.85
1966-11-01,5.76,3.6,961.0,32.88
1966-12-01,5.4,3.8,990.0,32.92
1967-01-01,4.94,3.9,1067.0,32.9
1967-02-01,5.0,3.8,1123.0,33.0
1967-03-01,4.53,3.8,1056.0,33.0
1967-04-01,4.05,3.8,1091.0,33.1
1967-05-01,3.94,3.8,1304.0,33.1
1967-06-01,3.98,3.9,1248.0,33.3
1967-07-01,3.79,3.8,1364.0,33.4
1967-08-01,3.9,3.8,1407.0,33.5
1967-09-01,3.99,3.8,1421.0,33.6
1967-10-01,3.88,4.0,1491.0,33.7
1967-11-01,4.13,3.9,1538.0,33.9
1967-12-01,4.51,3.8,1308.0,34.0
1968-01-01,4.61,3.7,1380.0,34.1
1968-02-01,4.71,3.8,1520.0,34.2
1968-03-01,5.05,3.7,1466.0,34.3
1968-04-01,5.76,3.5,1554.0,34.4
1968-05-01,6.12,3.5,1408.0,34.5
1968-06-01,6.07,3.7,1405.0,34.7
1968-07-01,6.03,3.7,1512.0,34.9
1968-08-01,6.03,3.5,1495.0,35.0
1968-09-01,5.78,3.4,1556.0,35.1
1968-10-01,5.91,3.4,1569.0,35.3
1968-11-01,5.82,3.4,1630.0,35.4
1968-12-01,6.02,3.4,1548.0,35.6
1969-01-01,6.3,3.4,1769.0,35.7
1969-02-01,6.61,3.4,1705.0,35.8
1969-03-01,6.79,3.4,1561.0,36.1
1969-04-01,7.41,3.4,1524.0,36.3
1969-05-01,8.67,3.4,1583.0,36.4
1969-06-01,8.9,3.5,1528.0,36.6
1969-07-01,8.61,3.5,1368.0,36.8
1969-08-01,9.19,3.5,1358.0,36.9
1969-09-01,9.15,3.7,1507.0,37.1
1969-10-01,9.0,3.7,1381.0,37.3
1969-11-01,8.85,3.5,1229.0,37.5
1969-12-01,8.97,3.5,1327.0,37.7
1970-01-01,8.98,3.9,1085.0,37.9
1970-02-01,8.98,4.2,1305.0,38.1
1970-03-01,7.76,4.4,1319.0,38.3
1970-04-01,8.1,4.6,1264.0,38.5
1970-05-01,7.95,4.8,1290.0,38.6
1970-06-01,7.61,4.9,1385.0,38.8
1970-07-01,7.21,5.0,1517.0,38.9
1970-08-01,6.62,5.1,1399.0,39.0
1970-09-01,6.29,5.4,1534.0,39.2
1970-10-01,6.2,5.5,1580.0,39.4
1970-11-01,5.6,5.9,1647.0,39.6
1970-12-01,4.9,6.1,1893.0,39.8
1971-01-01,4.14,5.9,1828.0,39.9
1971-02-01,3.72,5.9,1741.0,39.9
1971-03-01,3.71,6.0,1910.0,40.0
1971-04-01,4.16,5.9,1986.0,40.1
1971-05-01,4.63,5.9,2049.0,40.3
1971-06-01,4.91,5.9,2026.0,40.5
1971-07-01,5.31,6.0,2083.0,40.6
1971-08-01,5.57,6.1,2158.0,40.7
1971-09-01,5.55,6.0,2041.0,40.8
1971-10-01,5.2,5.8,2128.0,40.9
1971-11-01,4.91,6.0,2182.0,41.0
1971-12-01,4.14,6.0,2295.0,41.1
1972-01-01,3.51,5.8,2494.0,41.2
1972-02-01,3.3,5.7,2390.0,41.4
1972-03-01,3.83,5.8,2334.0,41.4
1972-04-01,4.17,5.7,2249.0,41.5
1972-05-01,4.27,5.7,2221.0,41.6
1972-06-01,4.46,5.7,2254.0,41.7
1972-07-01,4.55,5.6,2252.0,41.8
1972-08-01,4.81,5.6,2382.0,41.9
1972-09-01,4.87,5.5,2481.0,42.1
1972-10-01,5.05,5.6,2485.0,42.2
1972-11-01,5.06,5.3,2421.0,42.4
1972-12-01,5.33,5.2,2366.0,42.5
1973-01-01,5.94,4.9,2481.0,42.7
1973-02-01,6.58,5.0,2289.0,43.0
1973-03-01,7.09,4.9,2365.0,43.4
1973-04-01,7.12,5.0,2084.0,43.7
1973-05-01,7.84,4.9,2266.0,43.9
1973-06-01,8.49,4.9,2067.0,44.2
1973-07-01,10.4,4.8,2123.0,44.2
1973-08-01,10.5,4.8,2051.0,45.0
1973-09-01,10.78,4.8,1874.0,45.2
1973-10-01,10.01,4.6,1677.0,45.6
1973-11-01,10.03,4.8,1724.0,45.9
1973-12-01,9.95,4.9,1526.0,46.3
1974-01-01,9.65,5.1,1451.0,46.8
1974-02-01,8.97,5.2,1752.0,47.3
1974-03-01,9.35,5.1,1555.0,47.8
1974-04-01,10.51,5.1,1607.0,48.1
1974-05-01,11.31,5.1,1426.0,48.6
1974-06-01,11.93,5.4,1513.0,49.0
1974-07-01,12.92,5.5,1316.0,49.3
1974-08-01,12.01,5.5,1142.0,49.9
1974-09-01,11.34,5.9,1150.0,50.6
1974-10-01,10.06,6.0,1070.0,51.0
1974-11-01,9.45,6.6,1026.0,51.5
1974-12-01,8.53,7.2,975.0,51.9
1975-01-01,7.13,8.1,1032.0,52.3
1975-02-01,6.24,8.1,904.0,52.6
1975-03-01,5.54,8.6,993.0,52.8
1975-04-01,5.49,8.8,1005.0,53.0
1975-05-01,5.22,9.0,1121.0,53.1
1975-06-01,5.55,8.8,1087.0,53.5
1975-07-01,6.1,8.6,1226.0,54.0
1975-08-01,6.14,8.4,1260.0,54.2
1975-09-01,6.24,8.4,1264.0,54.6
1975-10-01,5.82,8.4,1344.0,54.9
1975-11-01,5.22,8.3,1360.0,55.3
1975-12-01,5.2,8.2,1321.0,55.6
1976-01-01,4.87,7.9,1367.0,55.8
1976-02-01,4.77,7.7,1538.0,55.9
1976-03-01,4.84,7.6,1421.0,56.0
1976-04-01,4.82,7.7,1395.0,56.1
1976-05-01,5.29,7.4,1459.0,56.4
1976-06-01,5.48,7.6,1495.0,56.7
1976-07-01,5.31,7.8,1401.0,57.0
1976-08-01,5.29,7.8,1550.0,57.3
1976-09-01,5.25,7.6,1720.0,57.6
1976-10-01,5.02,7.7,1629.0,57.9
1976-11-01,4.95,7.8,1641.0,58.1
1976-12-01,4.65,7.8,1804.0,58.4
1977-01-01,4.61,7.5,1527.0,58.7
1977-02-01,4.68,7.6,1943.0,59.3
1977-03-01,4.69,7.4,2063.0,59.6
1977-04-01,4.73,7.2,1892.0,60.0
1977-05-01,5.35,7.0,1971.0,60.2
1977-06-01,5.39,7.2,1893.0,60.5
1977-07-01,5.42,6.9,2058.0,60.8
1977-08-01,5.9,7.0,2020.0,61.1
1977-09-01,6.14,6.8,1949.0,61.3
1977-10-01,6.47,6.8,2042.0,61.6
1977-11-01,6.51,6.8,2042.0,62.0
1977-12-01,6.56,6.4,2142.0,62.3
1978-01-01,6.7,6.4,1718.0,62.7
1978-02-01,6.78,6.3,1738.0,63.0
1978-03-01,6.79,6.3,2032.0,63.4
1978-04-01,6.89,6.1,2197.0,63.9
1978-05-01,7.36,6.0,2075.0,64.5
1978-06-01,7.6,5.9,2070.0,65.0
1978-07-01,7.81,6.2,2092.0,65.5
1978-08-01,8.04,5.9,1996.0,65.9
1978-09-01,8.45,6.0,1970.0,66.5
1978-10-01,8.96,5.8,1981.0,67.1
1978-11-01,9.76,5.9,2094.0,67.5
1978-12-01,10.03,6.0,2044.0,67.9
1979-01-01,10.07,5.9,1630.0,68.5
1979-02-01,10.06,5.9,1520.0,69.2
1979-03-01,10.09,5.8,1847.0,69.9
1979-04-01,10.01,5.8,1748.0,70.6
1979-05-01,10.24,5.6,1876.0,71.4
1979-06-01,10.29,5.7,1913.0,72.2
1979-07-01,10.47,5.7,1760.0,73.0
1979-08-01,10.94,6.0,1778.0,73.7
1979-09-01,11.43,5.9,1832.0,74.4
1979-10-01,13.77,6.0,1681.0,75.2
1979-11-01,13.18,5.9,1524.0,76.0
1979-12-01,13.78,6.0,1498.0,76.9
1980-01-01,13.82,6.3,1341.0,78.0
1980-02-01,14.13,6.3,1350.0,79.0
1980-03-01,17.19,6.3,1047.0,80.1
1980-04-01,17.61,6.9,1051.0,80.9
1980-05-01,10.98,7.5,927.0,81.7
1980-06-01,9.47,7.6,1196.0,82.5
1980-07-01,9.03,7.8,1269.0,82.6
1980-08-01,9.61,7.7,1436.0,83.2
1980-09-01,10.87,7.5,1471.0,83.9
1980-10-01,12.81,7.5,1523.0,84.7
1980-11-01,15.85,7.5,1510.0,85.6
1980-12-01,18.9,7.2,1482.0,86.4
1981-01-01,19.08,7.5,1547.0,87.2
1981-02-01,15.93,7.4,1246.0,88.0
1981-03-01,14.7,7.4,1306.0,88.6
1981-04-01,15.72,7.2,1360.0,89.1
1981-05-01,18.52,7.5,1140.0,89.7
1981-06-01,19.1,7.5,1045.0,90.5
1981-07-01,19.04,7.2,1041.0,91.5
1981-08-01,17.82,7.4,940.0,92.2
1981-09-01,15.87,7.6,911.0,93.1
1981-10-01,15.08,7.9,873.0,93.4
1981-11-01,13.31,8.3,837.0,93.8
1981-12-01,12.37,8.5,910.0,94.1
1982-01-01,13.22,8.6,843.0,94.4
1982-02-01,14.78,8.9,866.0,94.7
1982-03-01,14.68,9.0,931.0,94.7
1982-04-01,14.94,9.3,917.0,95.0
1982-05-01,14.45,9.4,1025.0,95.9
1982-06-01,14.15,9.6,902.0,97.0
1982-07-01,12.59,9.8,1166.0,97.5
1982-08-01,10.12,9.8,1046.0,97.7
1982-09-01,10.31,10.1,1144.0,97.7
1982-10-01,9.71,10.4,1173.0,98.1
1982-11-01,9.2,10.8,1372.0,98.0
1982-12-01,8.95,10.8,1303.0,97.7
1983-01-01,8.68,10.4,1586.0,97.9
1983-02-01,8.51,10.4,1699.0,98.0
1983-03-01,8.77,10.3,1606.0,98.1
1983-04-01,8.8,10.2,1472.0,98.8
1983-05-01,8.63,10.1,1776.0,99.2
1983-06-01,8.98,10.1,1733.0,99.4
1983-07-01,9.37,9.4,1785.0,99.8
1983-08-01,9.56,9.5,1910.0,100.1
1983-09-01,9.45,9.2,1710.0,100.4
1983-10-01,9.48,8.8,1715.0,100.8
1983-11-01,9.34,8.5,1785.0,101.1
1983-12-01,9.47,8.3,1688.0,101.4
1984-01-01,9.56,8.0,1897.0,102.1
1984-02-01,9.59,7.8,2260.0,102.6
1984-03-01,9.91,7.8,1663.0,102.9
1984-04-01,10.29,7.7,1851.0,103.3
1984-05-01,10.32,7.4,1774.0,103.5
1984-06-01,11.06,7.2,1843.0,103.7
1984-07-01,11.23,7.5,1732.0,104.1
1984-08-01,11.64,7.5,1586.0,104.4
1984-09-01,11.3,7.3,1698.0,104.7
1984-10-01,9.99,7.4,1590.0,105.1
1984-11-01,9.43,7.2,1689.0,105.3
1984-12-01,8.38,7.3,1612.0,105.5
1985-01-01,8.35,7.3,1711.0,105.7
1985-02-01,8.5,7.2,1632.0,106.3
1985-03-01,8.58,7.2,1800.0,106.8
1985-04-01,8.27,7.3,1821.0,107.0
1985-05-01,7.97,7.2,1680.0,107.2
1985-06-01,7.53,7.4,1676.0,107.5
1985-07-01,7.88,7.4,1684.0,107.7
1985-08-01,7.9,7.1,1743.0,107.9
1985-09-01,7.92,7.1,1676.0,108.1
1985-10-01,7.99,7.1,1834.0,108.5
1985-11-01,8.05,7.0,1698.0,109.0
1985-12-01,8.27,7.0,1942.0,109.5
1986-01-01,8.14,6.7,1972.0,109.9
1986-02-01,7.86,7.2,1848.0,109.7
1986-03-01,7.48,7.2,1876.0,109.1
1986-04-01,6.99,7.1,1933.0,108.7
1986-05-01,6.85,7.2,1854.0,109.0
1986-06-01,6.92,7.2,1847.0,109.4
1986-07-01,6.56,7.0,1782.0,109.5
1986-08-01,6.17,6.9,1807.0,109.6
1986-09-01,5.89,7.0,1687.0,110.0
1986-10-01,5.85,7.0,1681.0,110.2
1986-11-01,6.04,6.9,1623.0,110.4
1986-12-01,6.91,6.6,1833.0,110.8
1987-01-01,6.43,6.6,1774.0,111.4
1987-02-01,6.1,6.6,1784.0,111.8
1987-03-01,6.13,6.6,1726.0,112.2
1987-04-01,6.37,6.3,1614.0,112.7
1987-05-01,6.85,6.3,1628.0,113.0
1987-06-01,6.73,6.2,1594.0,113.5
1987-07-01,6.58,6.1,1575.0,113.8
1987-08-01,6.73,6.0,1605.0,114.3
1987-09-01,7.22,5.9,1695.0,114.7
1987-10-01,7.29,6.0,1515.0,115.0
1987-11-01,6.69,5.8,1656.0,115.4
1987-12-01,6.77,5.7,1400.0,115.6
1988-01-01,6.83,5.7,1271.0,116.0
1988-02-01,6.58,5.7,1473.0,116.2
1988-03-01,6.58,5.7,1532.0,116.5
1988-04-01,6.87,5.4,1573.0,117.2
1988-05-01,7.09,5.6,1421.0,117.5
1988-06-01,7.51,5.4,1478.0,118.0
1988-07-01,7.75,5.4,1467.0,118.5
1988-08-01,8.01,5.6,1493.0,119.0
1988-09-01,8.19,5.4,1492.0,119.5
1988-10-01,8.3,5.4,1522.0,119.9
1988-11-01,8.35,5.3,1569.0,120.3
1988-12-01,8.76,5.3,1563.0,120.7
1989-01-01,9.12,5.4,1621.0,121.2
1989-02-01,9.36,5.2,1425.0,121.6
1989-03-01,9.85,5.0,1422.0,122.2
1989-04-01,9.84,5.2,1339.0,123.1
1989-05-01,9.81,5.2,1331.0,123.7
1989-06-01,9.53,5.3,1397.0,124.1
1989-07-01,9.24,5.2,1427.0,124.5
1989-08-01,8.99,5.2,1332.0,124.5
1989-09-01,9.02,5.3,1279.0,124.8
1989-10-01,8.84,5.3,1410.0,125.4
1989-11-01,8.55,5.4,1351.0,125.9
1989-12-01,8.45,5.4,1251.0,126.3
1990-01-01,8.23,5.4,1551.0,127.5
1990-02-01,8.24,5.3,1437.0,128.0
1990-03-01,8.28,5.2,1289.0,128.6
1990-04-01,8.26,5.4,1248.0,128.9
1990-05-01,8.18,5.4,1212.0,129.1
1990-06-01,8.29,5.2,1177.0,129.9
1990-07-01,8.15,5.5,1171.0,130.5
1990-08-01,8.13,5.7,1115.0,131.6
1990-09-01,8.2,5.9,1110.0,132.5
1990-10-01,8.11,5.9,1014.0,133.4
1990-11-01,7.81,6.2,1145.0,133.7
1990-12-01,7.31,6.3,969.0,134.2
1991-01-01,6.91,6.4,798.0,134.7
1991-02-01,6.25,6.6,965.0,134.8
1991-03-01,6.12,6.8,921.0,134.8
1991-04-01,5.91,6.7,1001.0,135.1
1991-05-01,5.78,6.9,996.0,135.6
1991-06-01,5.9,6.9,1036.0,136.0
1991-07-01,5.82,6.8,1063.0,136.2
1991-08-01,5.66,6.9,1049.0,136.6
1991-09-01,5.45,6.9,1015.0,137.0
1991-10-01,5.21,7.0,1079.0,137.2
1991-11-01,4.81,7.0,1103.0,137.8
1991-12-01,4.43,7.3,1079.0,138.2
1992-01-01,4.03,7.3,1176.0,138.3
1992-02-01,4.06,7.4,1250.0,138.6
1992-03-01,3.98,7.4,1297.0,139.1
1992-04-01,3.73,7.4,1099.0,139.4
1992-05-01,3.82,7.6,1214.0,139.7
1992-06-01,3.76,7.8,1145.0,140.1
1992-07-01,3.25,7.7,1139.0,140.5
1992-08-01,3.3,7.6,1226.0,140.8
1992-09-01,3.22,7.6,1186.0,141.1
1992-10-01,3.1,7.3,1244.0,141.7
1992-11-01,3.09,7.4,1214.0,142.1
1992-12-01,2.92,7.4,1227.0,142.3
1993-01-01,3.02,7.3,1210.0,142.8
1993-02-01,3.03,7.1,1210.0,143.1
1993-03-01,3.07,7.0,1083.0,143.3
1993-04-01,2.96,7.1,1258.0,143.8
1993-05-01,3.0,7.1,1260.0,144.2
1993-06-01,3.04,7.0,1280.0,144.3
1993-07-01,3.06,6.9,1254.0,144.5
1993-08-01,3.03,6.8,1300.0,144.8
1993-09-01,3.09,6.7,1343.0,145.0
1993-10-01,2.99,6.8,1392.0,145.6
1993-11-01,3.02,6.6,1376.0,146.0
1993-12-01,2.96,6.5,1533.0,146.3
1994-01-01,3.05,6.6,1272.0,146.3
1994-02-01,3.25,6.6,1337.0,146.7
1994-03-01,3.34,6.5,1564.0,147.1
1994-04-01,3.56,6.4,1465.0,147.2
1994-05-01,4.01,6.1,1526.0,147.5
1994-06-01,4.25,6.1,1409.0,147.9
1994-07-01,4.26,6.1,1439.0,148.4
1994-08-01,4.47,6.0,1450.0,149.0
1994-09-01,4.73,5.9,1474.0,149.3
1994-10-01,4.76,5.8,1450.0,149.4
1994-11-01,5.29,5.6,1511.0,149.8
1994-12-01,5.45,5.5,1455.0,150.1
1995-01-01,5.53,5.6,1407.0,150.5
1995-02-01,5.92,5.4,1316.0,150.9
1995-03-01,5.98,5.4,1249.0,151.2
1995-04-01,6.05,5.8,1267.0,151.8
1995-05-01,6.01,5.6,1314.0,152.1
1995-06-01,6.0,5.6,1281.0,152.4
1995-07-01,5.85,5.7,1461.0,152.6
1995-08-01,5.74,5.7,1416.0,152.9
1995-09-01,5.8,5.6,1369.0,153.1
1995-10-01,5.76,5.5,1369.0,153.5
1995-11-01,5.8,5.6,1452.0,153.7
1995-12-01,5.6,5.6,1431.0,153.9
1996-01-01,5.56,5.6,1467.0,154.7
1996-02-01,5.22,5.5,1491.0,155.0
1996-03-01,5.31,5.5,1424.0,155.5
1996-04-01,5.22,5.6,1516.0,156.1
1996-05-01,5.24,5.6,1504.0,156.4
1996-06-01,5.27,5.3,1467.0,156.7
1996-07-01,5.4,5.5,1472.0,157.0
1996-08-01,5.22,5.1,1557.0,157.2
1996-09-01,5.3,5.2,1475.0,157.7
1996-10-01,5.24,5.2,1392.0,158.2
1996-11-01,5.31,5.4,1489.0,158.7
1996-12-01,5.29,5.4,1370.0,159.1
1997-01-01,5.25,5.3,1355.0,159.4
1997-02-01,5.19,5.2,1486.0,159.7
1997-03-01,5.39,5.2,1457.0,159.8
1997-04-01,5.51,5.1,1492.0,159.9
1997-05-01,5.5,4.9,1442.0,159.9
1997-06-01,5.56,5.0,1494.0,160.2
1997-07-01,5.52,4.9,1437.0,160.4
1997-08-01,5.54,4.8,1390.0,160.8
1997-09-01,5.54,4.9,1546.0,161.2
1997-10-01,5.5,4.7,1520.0,161.5
1997-11-01,5.52,4.6,1510.0,161.7
1997-12-01,5.5,4.7,1566.0,161.8
1998-01-01,5.56,4.6,1525.0,162.0
1998-02-01,5.51,4.6,1584.0,162.0
1998-03-01,5.49,4.7,1567.0,162.0
1998-04-01,5.45,4.3,1540.0,162.2
1998-05-01,5.49,4.4,1536.0,162.6
1998-06-01,5.56,4.5,1641.0,162.8
